source_id,formal_name,lat,long,sit_prec,geo_src,lat_long_src_id,name_src,site_cat,hist_affl,state_affl,cultrl_affl_1,cultrl_affl_2,site_sgnf,mil_use,aaas,state_hiu,nga,dia,osm,coder1,coder1_date ,coder2,coder2_date ,apprv,apprv_date ,Notes1,Notes2,KHChanges,Hst 1,Hst 2,Religion,Language,Ethnicity,Governorate,FID_OLD,OBJECTID_OLD,PlyContain,PtContaine,PennContai,cat_code_old
AAASSYR01652,Alansar Mosque,33.6390748,36.511896199,,OSM_Points,3012872106,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1651,1652,0,0,0,9
AAASSYR01653,Mig 21,36.1664804,37.125759301,,OSM_Points,3172827105,OSM_Points,Monument,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1652,1653,0,0,0,7
AAASSYR01654,Burqush Roman and Byzantine Ruins,33.4662035,35.988872201,,OSM_Points,3199201860,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1653,1654,0,0,1,1
AAASSYR01655,Ù…Ø³Ø¬Ø¯ Ø§Ù„Ø­Ø³Ù†,33.5114466,36.3832606,,OSM_Points,3262147394,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1654,1655,0,0,0,9
AAASSYR01657,Ø¬Ø§Ù…Ø¹ Ø¬Ø³Ø±ÙŠÙ† Ø§Ù„ÙƒØ¨ÙŠØ±,33.5118893,36.3884736,,OSM_Points,3262307375,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1656,1657,0,0,0,9
AAASSYR01658, ,33.4958457,36.3806329,,OSM_Points,3262307376,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1657,1658,0,0,0,9
AAASSYR01659,Ù…Ø³Ø¬Ø¯ Ø¬Ø¹ÙØ± Ø§Ù„Ø·ÙŠØ§Ø±,33.5604312,36.3230352,,OSM_Points,3262385865,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1658,1659,0,0,0,9
AAASSYR01660,Ø¬Ø§Ù…Ø¹ Ø§Ù„Ø­Ø³Ù†ÙŠÙ†,33.6488277,36.3016352,,OSM_Points,3309144857,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1659,1660,0,0,0,9
AAASSYR01661,Ø¬Ø§Ù…Ø¹ Ø¹Ù„ÙŠ Ø¨Ù† Ø§Ø¨ÙŠ Ø·Ø§Ù„Ø¨,33.6382546,36.2966783,,OSM_Points,3309446833,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1660,1661,0,0,0,9
AAASSYR01662,Ø¬Ø§Ù…Ø¹ Ø§Ù„Ø±Ø¶ÙˆØ§Ù†,33.6453938,36.3063444,,OSM_Points,3320005217,OSM_Points,Religious Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1661,1662,0,0,0,9
AAASSYR01663,Tell Taban,36.3361517,40.7878722,,OSM_Points,3377400743,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1662,1663,0,0,1,1
AAASSYR01664,Tell Shaddada,36.0375084,40.7489806,,OSM_Points,3377400945,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1663,1664,0,0,0,1
AAASSYR01665,Tell FadÄ¡ami,35.9117688,40.870681,,OSM_Points,3377400946,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1664,1665,0,0,0,1
AAASSYR01666,Soura,35.8989789001,38.7797405005,,OSM_Points,3378334365,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,2, ,,,,,,,1665,1666,0,0,0,1
AAASSYR01667,Tell Batnan,36.3956703,37.5391895,,OSM_Points,3378345199,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1666,1667,0,0,0,1
AAASSYR01668,Sarmada Dead City Roman Tomb,36.1826606,36.7312845,,OSM_Points,3383887404,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1667,1668,0,0,1,1
AAASSYR01669,Asharah Cultural Property (tell to the south),34.9221994,40.5682571,,OSM_Points,3385387638,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1668,1669,0,0,1,1
AAASSYR01670,Krak des Chevaliers,34.756985,36.2947779,,OSM_Points,281009924,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1669,1670,0,0,1,1
AAASSYR01671,Ø®Ø±Ø§Ø¨ Ø¹ØµÙŠÙØ±ÙŠ,33.5663890004,36.0355559997,,OSM_Points,564365095,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,5555,REMOVED - SITE IN LEBANON,,,,,,,1670,1671,0,0,0,1
AAASSYR01672,Ù…ÙŠØ³Ù„ÙˆÙ†,33.5894444,36.0536111,,OSM_Points,564365779,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1671,1672,0,0,0,1
AAASSYR01673,Ø®Ø±Ø§Ø¨ Ø¨ÙŠØªØ¨ÙŠÙ†,33.8311111,36.1063889,,OSM_Points,564379125,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1672,1673,0,0,0,5
AAASSYR01674,Ø¯ÙŠØ± Ù…Ø¹Ø±Ø¨ÙˆÙ†,33.8408333,36.1777778,,OSM_Points,564380220,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1673,1674,0,0,0,5
AAASSYR01675,Ù‚ØµØ± Ø§Ù„Ù†Ù…Ø±ÙˆØ¯,33.8397222,36.3063889,,OSM_Points,564388349,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1674,1675,0,0,0,1
AAASSYR01676,Ù†Ø§Ø¹Ù…Ø© Ø§Ù„ØªØ­ØªÙ‰,34.3416667,36.54,,OSM_Points,564408179,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1675,1676,0,0,0,5
AAASSYR01677,Ù†Ø§Ø¹Ù…Ø© Ø§Ù„ÙÙˆÙ‚Ù‰,34.3366667,36.5475,,OSM_Points,564408184,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1676,1677,0,0,0,5
AAASSYR01678,Ø±Ø¬Ù… Ø§Ù„Ø¹ÙØ±ÙŠØª,34.3577778,36.5322222,,OSM_Points,564408211,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1677,1678,0,0,0,5
AAASSYR01679,Ø®Ø±Ø¨Ø© Ø§Ù„Ù…Ø²Ù†ÙŠØª,34.3861111,36.5391667,,OSM_Points,564408554,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1678,1679,0,0,0,5
AAASSYR01680,Ø¬ØµØª Ø§Ù„Ø®Ø±Ø§Ø¨,34.4005556,36.558055599,,OSM_Points,564408581,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1679,1680,0,0,0,5
AAASSYR01681,Ø®Ø±Ø¨Ø© Ø§Ù„Ø­ÙŠØ§Øª,34.4427778,36.5108333,,OSM_Points,564408612,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1680,1681,0,0,0,5
