state_hiu,Notes1,dia,coder1_date ,lat_long_src_id,apprv_date ,coder2_date ,mil_use,site_cat,site_sgnf,FID_OLD,hist_affl,coder1,Notes2,KHChanges,formal_name,nga,cat_code_old,cultrl_affl_1,geo_src,Governorate,name_src,sit_prec,source_id,Religion,PennContai,Ethnicity,PlyContain,PtContaine,Language,apprv,lat,aaas,long,cultrl_affl_2,osm,coder2,Hst 2,OBJECTID_OLD,Hst 1,state_affl,nearest_neighbor,nearest_neighbor_distance
, ,,31-Aug-2016,203467552,,,,Religious Site,,238,M002,SRW001,0, ,Aleppo Mosque al-Adliyeh,,9,M015,OSM_Polygon,Aleppo,Penn,,AAASSYR00239,Shii?,1,Arab,0,0,Arabic,,36.19749625,1,37.157808,,,,16th century,239,Early Modern-Ottoman Empire,,SHIUSYR0107,0.015412
, ,,31-Aug-2016,203462090,,,,Religious Site,,233,M002,SRW001,0, ,"Zaki Pasha Mosque, Aleppo",,9,M010,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00234,Islam,0,Arab,0,0,Arabic,,36.20473955,1,37.14021045,,1,,"Ottoman Empire, 1898",234,Early Modern-Ottoman Empire,,AAASSYR00233,0.316302
, ,,31-Aug-2016,233417170,,,,Museum,,693,M002,SRW001,1, ,Aleppo National Museum,,8,M010,OSM_Polygon,,Penn,,AAASSYR00694,,1,Arab,0,0,Arabic,,36.2034368,1,37.1503096997,,,,Modern - Ba'thist Repuplic of Syria,694,Iron Age - Ba'thist Republic of Syria,,NGASYR0978,0.000943
, ,,31-Aug-2016,760SY0371,,,,Historic Structure,,2636,M002,SRW001,1, ,Damascus House of the Spanish Crown (Sarkis Palace),,5,MD09,Penn,,Penn,,AAASSYR02637,Syriac Catholic Church,0,Assyrian,0,0,Western Aramaic,,33.5114470003,1,36.3155059999,,,,Modern – Mandate Period,2637,Late Ottoman,,SHIUSYR0421,0.000000
,,,31-Aug-2016,760SY0418,,,,Archaeological Site,,2840,M003,SRW001,1, ,Babisqa Dead City,,1,M010,Penn,,Penn,,AAASSYR02841,Islamic,0,Arab,0,0,Arabic,,36.2144919997,1,36.6899720002,,,,Modern –Ba’thist Republic of Syria,2841,Medieval - Byzantine,,SHIUSYR0261,0.000000
,,,31-Aug-2016,760SY0133,,,,Archaeological Site,,2909,M003,SRW001,1, ,Sarjebleh Dead City,,1,M010,Penn,,Penn,,AAASSYR02910,Islamic,0,Arab,0,0,Arabic,,36.2397389999,1,36.7168390002,,,,Modern –Ba’thist Republic of Syria,2910,Medieval - Byzantine,,SHIUSYR0948,0.000000
,,,31-Aug-2016,760PCHC1597,,,,Archaeological Site,,3004,M003,SRW001,1, ,Serjilla Dead City,,1,M010,Penn,,Penn,,AAASSYR03005,Islamic,0,Arab,0,0,Arabic,,35.6555940003,1,36.5262859998,,,,Modern –Ba’thist Republic of Syria,3005,Medieval - Byzantine,,NGASYR3486,0.328099
,,,31-Aug-2016,760SY0141,,,,Archaeological Site,,2862,M003,SRW001,1, ,Sarfud Dead City,,1,M010,Penn,,Penn,,AAASSYR02863,Islamic,0,Arab,0,0,Arabic,,36.1911190004,1,36.6863080004,,,,,2863,Medieval - Byzantine,,DIASYR0213,0.000249
,,,31-Aug-2016,173166964,,,,Archaeological Site,,908,M003,SRW001,1, ,(english) Cathedral of St. Simeon the Stylite,,1,MH11,OSM_Polygon,,OSM_Polygon,,AAASSYR00909,Christian: Syriac Orthodox Church,0,Assyrian,0,0,Syriac,,36.3329177004,1,36.84366795,,1,,,909,Medieval - Christian,,SHIUSYR0616,0.114669
,,,31-Aug-2016,105776501,,,,Archaeological Site,,810,M004,SRW001,1, ,Homs Citadel and Castle,,1,M015,OSM_Polygon,,Penn,,AAASSYR00811,Shia,1,Arab,0,0,Arabic,,34.7234329502,1,36.7144642505,,,,Bronze Age,811,Medieval - Islamic - Ayyubid,,NGASYR0268,0.012871
, ,,31-Aug-2016,203466290,,,,Religious Site,,237,M004,SRW001,1, ,Aleppo Mosque al-Haddadin,,9,M014,OSM_Polygon,Aleppo,Penn,,AAASSYR00238,Islam (my guess is Sunni - Rim will know for certain),1,Arab,0,0,Arabic,,36.2042462498,1,37.1676358497,,,,,238,Medieval - Islamic - Mamluk,,SHIUSYR0116,0.004241
, ,,31-Aug-2016,166333145,,,,Cultural Center,,896,M002,SRW001,1, , ,,4,M010,OSM_Polygon,,OSM_Polygon,,AAASSYR00897,Levantine,0,Arab,0,0,Arabic,,33.4660265998,1,36.4816286001,,1,,,897,Medieval - Ottoman,,AAASSYR00898,0.129838
, ,,31-Aug-2016,760PCHC1112,,,,Archaeological Site,,2925,M003,SRW001,1, ,Lubben Byzantine Ruins,,1,MD06,Penn,,Penn,,AAASSYR02926,Druze,0,Arab,0,0,Arabic,,32.919433,1,36.3939190004,,,,,2926,Medieval – Byzantine ,,SHIUSYR0774,0.000000
,,,31-Aug-2016,760SY0090,,,,Archaeological Site,,3151,M003,SRW001,1, ,Tartus Ancient City Walls,,1,M010,Penn,,Penn,,AAASSYR03152,,0,Arab,0,1,Arabic,,34.892439,1,35.8766000002,,,,,3152,Medieval – Christian,,OSM637648275,0.020942
, ,,31-Aug-2016,760PCHC1115,,,,Religious Site,,3012,M003,SRW001,1, ,Maarat al-Numan Minaret,,9,M010,Penn,,Penn,,AAASSYR03013,Islamic,0,Arab,0,0,Arabic,,35.6500719999,1,36.6777359998,,,,Modern –Ba’thist Republic of Syria,3013,Medieval – Crusades,,DIASYR0863,0.022816
, ,,31-Aug-2016,203435797,,,,Religious Site,,226,M003,SRW001,0, ,Aleppo Mashhad al-Hussein,,9,M014,OSM_Polygon,Aleppo,Penn,,AAASSYR00227,Sunni,1,Arab,0,0,Arabic,,36.19533395,1,37.13292915,,,,,227,Medieval – Crusades,,DIASYR0696,0.012966
, ,,31-Aug-2016,174884432,,,,Religious Site,,173,M004,SRW001,1, ,Lady Nafisa Mosque,,9,M015,OSM_Polygon,,OSM_Polygon,,AAASSYR00174,Shia,0,Arab,0,0,Arabic,,36.1963218004,1,37.1071590005,,1,,,174,Medieval – Islamic,,AAASSYR00300,0.385402
, ,,31-Aug-2016,203512036,,,,Religious Site,,248,M004,SRW001,1, ,(mosque al mubashshirin bialjann) جامع المبشرين بالجنة ,,9,M014,OSM_Polygon,,OSM_Polygon,,AAASSYR00249,Sunni,0,Arab,0,0,Arabic,,36.2031044504,1,37.1274846498,,1,,,249,Medieval – Islamic,,AAASSYR00253,0.320420
,,,31-Aug-2016,760PCHC808,,,,Historic Structure,,2741,M004,SRW001,1, ,Aleppo Suq Saqatiya,,5,M010,Penn,,Penn,,AAASSYR02742,Islamic,0,Arab,0,0,Arabic,,36.1987470004,1,37.1563220001,,,,Modern –Ba’thist,2742,"Medieval – Islamic
Mamluks ",,SHIUSYR0196,0.000000
, ,,31-Aug-2016,760SY0349,,,,Historic Structure,,2638,M004,SRW001,1, ,Damascus Hammam al-Bakri,,5,M010,Penn,,Penn,,AAASSYR02639,Islamic,0,Arab,0,0,Arabic,,33.512767,1,36.3134669998,,,,Modern –Ba’thist Republic of Syria ,2639,"Medieval – Islamic
Mamluks ",,SHIUSYR0397,0.000000
, ,,31-Aug-2016,760PCHC978,,,,Monument,,2615,M004,SRW001,1, ,Damascus Mausoleum Turba Takritiye (Madrasa Tabutluk),,7,M010,Penn,,Penn,,AAASSYR02616,Islamic,0,Arab,0,0,Arabic,,33.5275139997,1,36.2849690003,,,,,2616,"Medieval – Islamic
Mamluks ",,SHIUSYR0524,0.000000
,,,31-Aug-2016,760SY0091,,,,Archaeological Site,,2783,M004,SRW001,1, ,Qal'at al-Khawabi,,1,M014,Penn,,Penn,,AAASSYR02784,"Islamic (Sunni, but majority Shia until c. 1920) )",0,Arab,0,0,Arabic,,34.9729139999,1,36.0023079995,,,,Modern –Ba’this,2784,"Medieval – Islamic –
Mamluks",,DIASYR0164,0.000354
